molecule_chembl_id,canonical_smiles,class,target_name,disease_name,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
CHEMBL306090,CNC(=O)[C@@H](NC(=O)[C@H](c1ccc(C)cc1)[C@H](CO)C(=O)NO)C(C)(C)C,active,TNF-alpha,IBD,379.4570000000001,0.46942000000000017,5.0,5.0,269.0,6.570247719997592
CHEMBL72511,CNC(=O)[C@@H](NC(=O)[C@H](c1ccc(OC)cc1)[C@H](CO)C(=O)NO)C(C)(C)C,active,TNF-alpha,IBD,395.4560000000002,0.16960000000000108,5.0,6.0,48.0,7.318758762624412
CHEMBL76297,CNC(=O)[C@@H](NC(=O)[C@H](c1ccccc1)[C@H](CO)C(=O)NO)C(C)(C)C,active,TNF-alpha,IBD,365.4300000000001,0.1609999999999998,5.0,5.0,928.0,6.032452023781138
CHEMBL11440,O=C1CCC(N2C(=O)c3c(F)c(F)c(F)c(F)c3C2=O)C(=O)N1,active,TNF-alpha,IBD,330.19300000000004,0.6442000000000001,1.0,4.0,400.0,6.3979400086720375
CHEMBL63,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,inactive,TNF-alpha,IBD,275.348,2.6201000000000008,1.0,3.0,12000.0,4.920818753952375
CHEMBL18701,CCCCOc1cc(CC2CNC(=O)N2)ccc1OC,inactive,TNF-alpha,IBD,278.35200000000003,2.098,2.0,3.0,50000.0,4.301029995663981
CHEMBL169795,CCOC(=O)CCCn1c(=O)c2c(nc(Br)n2C)n(C)c1=O,inactive,TNF-alpha,IBD,373.20700000000005,0.5394999999999999,0.0,8.0,60000.0,4.221848749616356
CHEMBL172619,CCOC(=O)CCCn1c(=O)c2nc(-c3ccccc3)cnc2n(C)c1=O,inactive,TNF-alpha,IBD,368.3930000000001,1.5004999999999997,0.0,8.0,200000.0,3.6989700043360187
CHEMBL169882,Cn1c(=O)n(CCCC(=O)O)c(=O)c2nccnc21,inactive,TNF-alpha,IBD,264.24100000000004,-0.6449999999999998,1.0,7.0,200000.0,3.6989700043360187
CHEMBL368515,Cn1c(=O)n(CCCC(=O)O)c(=O)c2ccccc21,inactive,TNF-alpha,IBD,262.26500000000004,0.5649999999999993,1.0,5.0,200000.0,3.6989700043360187
CHEMBL171179,CCCCCn1c(=O)n(CCCC(=O)OCC)c(=O)c2nccnc21,inactive,TNF-alpha,IBD,348.403,1.4867,0.0,8.0,16000.0,4.795880017344075
CHEMBL170395,CCOC(=O)CCCn1c(=O)c2nccnc2n(Cc2ccccc2)c1=O,inactive,TNF-alpha,IBD,368.39300000000014,1.3448000000000002,0.0,8.0,175000.0,3.7569619513137056
CHEMBL354257,COC(=O)/C=C\Cn1c(=O)c2nccnc2n(C)c1=O,inactive,TNF-alpha,IBD,276.25200000000007,-0.7806000000000002,0.0,8.0,25000.0,4.6020599913279625
CHEMBL172224,CCCn1c(=O)n(CCCC(=O)O)c(=O)c2nccnc21,inactive,TNF-alpha,IBD,292.295,0.22799999999999992,1.0,7.0,200000.0,3.6989700043360187
CHEMBL263480,CCOC(=O)CCCn1c(=O)c2nsnc2n(C)c1=O,inactive,TNF-alpha,IBD,298.32400000000007,-0.10499999999999976,0.0,9.0,25000.0,4.6020599913279625
CHEMBL171406,CCOC(=O)CCn1c(=O)c2c(ncn2C)n(C)c1=O,inactive,TNF-alpha,IBD,280.28400000000005,-0.6130999999999993,0.0,8.0,10000.0,5.0
CHEMBL169239,CCOC(=O)CCCn1c(=O)c2nccnc2n(C)c1=O,inactive,TNF-alpha,IBD,292.2950000000001,-0.16649999999999987,0.0,8.0,12000.0,4.920818753952375
CHEMBL352725,CCCCn1c(=O)n(CCCC(=O)OCC)c(=O)c2nccnc21,inactive,TNF-alpha,IBD,334.37600000000003,1.0965999999999996,0.0,8.0,15000.0,4.823908740944319
CHEMBL368458,CCCn1c(=O)n(CCCC(=O)OCC)c(=O)c2nsnc21,inactive,TNF-alpha,IBD,326.378,0.7679999999999993,0.0,9.0,18000.0,4.7447274948966935
CHEMBL354675,CCOC(=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,inactive,TNF-alpha,IBD,266.257,-1.003199999999999,0.0,8.0,200000.0,3.6989700043360187
CHEMBL172669,CCOC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,inactive,TNF-alpha,IBD,308.3380000000001,0.16710000000000003,0.0,8.0,11000.0,4.958607314841775
CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,inactive,TNF-alpha,IBD,278.31200000000007,0.19300000000000006,0.0,7.0,85000.0,4.070581074285707
CHEMBL171452,Cn1c(=O)[nH]c(=O)c2[nH]c(S)nc21,inactive,TNF-alpha,IBD,198.207,-0.7614000000000006,3.0,5.0,200000.0,3.6989700043360187
CHEMBL354263,COC(=O)c1ccc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)cc1,inactive,TNF-alpha,IBD,328.32800000000003,0.26859999999999973,0.0,8.0,200000.0,3.6989700043360187
CHEMBL1343,Cn1cnc2c1c(=O)n(CCCC(=O)O)c(=O)n2C,inactive,TNF-alpha,IBD,266.25699999999995,-0.7014999999999996,1.0,7.0,200000.0,3.6989700043360187
CHEMBL423609,CCCCCCn1c(=O)c2c(n(C)c1=O)NC(O)N2,inactive,TNF-alpha,IBD,268.317,0.24059999999999965,3.0,7.0,50000.0,4.301029995663981
CHEMBL170267,CCOC(=O)c1ccc(Cn2c(=O)c3c(nc(S)n3C)n(C)c2=O)cc1,inactive,TNF-alpha,IBD,374.422,0.9473999999999998,1.0,9.0,200000.0,3.6989700043360187
CHEMBL355042,CCOC(=O)CCCn1c(=O)c2nccnc2n(C2CCOC2)c1=O,inactive,TNF-alpha,IBD,348.3590000000002,0.2578999999999996,0.0,9.0,19000.0,4.721246399047171
CHEMBL355433,Cn1c(=O)n(CCCC(=O)O)c(=O)c2nsnc21,inactive,TNF-alpha,IBD,270.27000000000004,-0.5835000000000006,1.0,8.0,200000.0,3.6989700043360187
CHEMBL174254,CCCCCCCn1c(=O)c2nsnc2n(C)c1=O,inactive,TNF-alpha,IBD,282.369,1.5221,0.0,7.0,75000.0,4.1249387366083
